,station,location,Temp,do,ph,co,bod,na,FECAL COLIFORM (MPN/100ml),tc,npH,ndo,nco,nbdo,nec,nna,wph,wdo,wbdo,wec,wna,wco,wqi
1142,2299,RAMAPURAM AT RAMAPURAM BRIDGE,28.6,5.6,6.4,7904.0,1.0,0.4,165,278.0,0,80,60,100,0,100,0.0,22.480000000000004,23.400000000000002,0.0,2.8000000000000003,16.860000000000003,65.54
1143,2300,PERUVAMBA AT CHANDAPPURA,28.1,6.8,6.0,55.0,0.5,0.25,590,910.0,0,100,40,100,100,100,0.0,28.1,23.400000000000002,0.8999999999999999,2.8000000000000003,11.240000000000002,66.44
1144,2301,R KAVVAI AT KUTTIYOL PALAM,29.0,6.0,5.9,105.0,1.0,0.63,73,195.0,0,100,60,100,80,100,0.0,28.1,23.400000000000002,0.72,2.8000000000000003,16.860000000000003,71.88
1145,2302,NEELASWARAM AT NAMBIARKAL DAM,28.8,6.3,7.0,2759.0,1.4,0.22,963,1400.0,100,100,40,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,11.240000000000002,82.03999999999999
1146,1448,NAGAVALLI AT THOTAPALLI REGULATOR,28.0,6.5,7.6,312.0,1.1,2.41,3,354.0,100,100,60,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,16.860000000000003,87.66
1147,2352,"VAMSHADHARA, KALINGAPATNAM, VIZIANAGARAM",27.4,6.4,7.7,203.0,1.1,3.34,3,357.0,100,100,60,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,16.860000000000003,88.2
1148,1444,KALI AT D/S WEST COAST PAPER MILL,28.8,7.3,7.3,308.0,4.2,2.43,116,185.0,100,100,60,80,0,100,16.5,28.1,18.720000000000002,0.0,2.8000000000000003,16.860000000000003,82.98
1149,1456,"RUSHIKULYA AT GANJAM D/S, ",30.8,6.8,7.8,23761.0,1.9,0.67,145,460.0,100,100,60,100,0,100,16.5,28.1,23.400000000000002,0.0,2.8000000000000003,16.860000000000003,87.66
1150,1642,"NAGAVALLI AT JAYKAYPUR D/S, ",28.0,7.5,8.1,228.0,2.1,0.4,3390,5850.0,100,100,40,100,40,100,16.5,28.1,23.400000000000002,0.36,2.8000000000000003,11.240000000000002,82.4
1151,1643,"NAGAVALLI AT RAYAGADA D/S, ",27.3,7.7,8.1,243.0,1.6,0.71,1930,4450.0,100,100,40,100,40,100,16.5,28.1,23.400000000000002,0.36,2.8000000000000003,11.240000000000002,82.4
1152,2422,"PENTA U/S, JAYKAYPUR TOWN",29.0,7.6,7.9,191.0,1.4,0.13,1188,1985.0,100,100,40,100,60,100,16.5,28.1,23.400000000000002,0.5399999999999999,2.8000000000000003,11.240000000000002,82.58000000000001
